keyword,full_name,short_name,eBay friendly name,eBay Affiliate Friendly,Pink Villa Friendly Name,Wikipedia Friendly Name,admob_pub_id,Background Image,news_feed_1,news_feed_2,news_feed_3,buzz_feed_1,buzz_feed_2,photos_feed,videos_feed,twitter_feeds,facebook_feed,website_category_1,website_name_1,website_url_1,website_category_2,website_name_2,website_url_2,website_category_3,website_name_3,website_url_3,website_category_4,website_name_4,website_url_4,website_category_5,website_name_5,website_url_5,ical_feed from eventful.com,eBay shopping_title1,eBay shopping_url1,shopping_affiliate Link 1,shopping_title2,shopping_url2,shopping_cat3,shopping_title3,shopping_url3,shopping_cat4,shopping_title4,shopping_url4,shopping_cat5,shopping_title5,shopping_url5,shopping_cat6,shopping_title6,shopping_url6,market_category,market_promo_80,Android Market Link,API CALL,bit.ly - Android,QRcode - Android,iPhone Store Link,API CALL,bit.ly - iPhone,QRcode - iPhone,IM Page Link,API CALL,bit.ly - IM,QRcode - IM,market_identifier,category,short_name-old,appID
Bollywood Top50 Male Stars,Aamir Khan,aamirkhan,Aamir+Khan,Aamir%2BKhan,Aamir-Khan,Aamir_Khan,,http://www.webindia123.com/personality/men/aamir_khan/aamir.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Aamir+Khan,,,http://www.pinkvilla.com/category/entertainmenttags/Aamir-Khan/feed,http://rss.starpulse.com/rss/topic.news.rss.php?topic_path=Actors/Khan%2C_Aamir/&topic_name=Aamir%20Khan,http://feed.photobucket.com/images/aamir+khan/feed.rss,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actors/Khan%2C_Aamir/&topic_name=Aamir+Khan,aamir_khan,http://www.facebook.com/feeds/page.php?id=163831417798&format=atom10,Official Website,Aamir Khan,http://www.aamirkhan.com/,Unofficial Fan Site,Aamir Khan fansite,http://www.aamir-khan.net/,Wikipedia,Aamir Khan on Wikipedia,http://en.m.wikipedia.org/wiki/Aamir_Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.aamirkhan,bollywood,aamirkhan,120000
Bollywood Top50 Male Stars,Abhijeet Sawant,abhijeetsawant,Abhijeet+Sawant,Abhijeet%2BSawant,Abhijeet-Sawant,Abhijeet_Sawant,,http://www.webindia123.com/personality/men/abhijeet_sawant/abijeeth.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Abhijeet+Sawant,,,http://www.pinkvilla.com/category/entertainmenttags/Abhijeet-Sawant/feed,,http://feed.photobucket.com/images/abhijeet+sawant/feed.rss,,abhijeetsawant5,http://www.facebook.com/feeds/page.php?id=53925293795&format=atom10,Official Website,,,Unofficial Fan Site,,,Wikipedia,Abhijeet Sawant on Wikipedia,http://en.m.wikipedia.org/wiki/Abhijeet_Sawant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.abhijeetsawant,bollywood,abhijeetsaw,120001
Bollywood Top50 Male Stars,Abhishek Bachchan,abhishekbachchan,Abhishek+Bachchan,Abhishek%2BBachchan,Abhishek-Bachchan,Abhishek_Bachchan,,http://www.webindia123.com/personality/men/abhishek_bachchan/abhi.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Abhishek+Bachchan,,,http://www.pinkvilla.com/category/entertainmenttags/Abhishek-Bachchan/feed,http://rss.starpulse.com/rss/topic.news.rss.php?topic_path=Actors/Bachchan%2C_Abhishek/&topic_name=Abhishek%20Bachchan,http://rss.starpulse.com/rss/topic.photos.rss.php?topic_path=Actors/Bachchan%2C_Abhishek&topic_name=Abhishek%20Bachchan,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actors/Bachchan%2C_Abhishek/&topic_name=Abhishek+Bachchan,juniorbachchan,http://www.facebook.com/feeds/page.php?id=165074180199216&format=atom10,Official Website,,,Unofficial Fan Site,Abhishek Bachchan Fansite,http://www.abhishekbachchan.org/,Wikipedia,Abhishek Bachchan on Wikipedia,http://en.m.wikipedia.org/wiki/Abhishek_Bachchan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.abhishekbachchan,bollywood,abhishek,120002
Bollywood Top50 Male Stars,Aftab Shivdasani,aftabshivdasani,Aftab+Shivdasani,Aftab%2BShivdasani,Aftab-Shivdasani,Aftab_Shivdasani,,http://www.webindia123.com/personality/men/Aftab_Shivdasani/aftab1.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Aftab+Shivdasani,,,http://www.pinkvilla.com/category/entertainmenttags/Aftab-Shivdasani/feed,,http://feed.photobucket.com/images/aftab+shivdasani/feed.rss,,aftab_ps,,Official Website,,,Unofficial Fan Site,Aftab Shivdasani unofficial fansite,http://aftab-shivdasani.sosugary.com/,Wikipedia,Aftab Shivdasani on Wikipedia,http://en.m.wikipedia.org/wiki/Aftab_Shivdasani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.aftabshivdasani,bollywood,ashivdasani,120003
Bollywood Top50 Female Stars,Aishwarya Rai,aishwaryarai,Aishwarya+Rai,Aishwarya%2BRai,Aishwarya-Rai,Aishwarya_Rai,,http://www.webindia123.com/personality/women/aishwarya_rai/aishwarya.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Aishwarya+Rai,,,http://www.pinkvilla.com/category/entertainmenttags/Aishwarya-Rai/feed,http://rss.starpulse.com/rss/topic.news.rss.php?topic_path=Actresses/Rai%2C_Aishwarya/&topic_name=Aishwarya%20Rai,http://rss.starpulse.com/rss/topic.photos.rss.php?topic_path=Actresses/Rai%2C_Aishwarya&topic_name=Aishwarya%20Rai,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actresses/Rai%2C_Aishwarya/&topic_name=Aishwarya+Rai,allaishwaryaweb,https://www.facebook.com/feeds/page.php?id=21867515179&format=atom10,Official Website,,,Unofficial Fan Site,Aishwarya Rai World,http://www.aishwaryaworld.info/index.html,Wikipedia,Aishwarya Rai on Wikipedia,http://en.m.wikipedia.org/wiki/Aishwarya_Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.aishwaryarai,bollywood,aishwarya,120004
Bollywood Top50 Male Stars,Ajay Devgan,ajaydevgan,Ajay+Devgan,Ajay%2BDevgan,Ajay-Devgan,Ajay_Devgan,,http://www.webindia123.com/personality/men/ajay_devgan/ajay.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Ajay+Devgan,,,http://www.pinkvilla.com/category/entertainmenttags/Ajay-Devgan/feed,,http://feed.photobucket.com/images/ajay+devgan/feed.rss,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actors/Devgan%2C_Ajay/&topic_name=Ajay+Devgan,ajaydevgaan,http://www.facebook.com/feeds/page.php?id=169911934613&format=atom10,Official Website,Ajay Devgan Official,http://ajaydevgn.com/,Unofficial Fan Site,Ajay Devgan Fan Site,http://ajay-devgan.com/,Wikipedia,Ajay Devgan on Wikipedia,http://en.m.wikipedia.org/wiki/Ajay_Devgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.ajaydevgan,bollywood,ajaydevgan,120005
Bollywood Top50 Male Stars,Akshay Khanna,akshaykhanna,Akshay+Khanna,Akshay%2BKhanna,Akshay-Khanna,Akshay_Khanna,,http://www.webindia123.com/personality/men/akshay_khanna/akshay1.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Akshay+Khanna,,,http://www.pinkvilla.com/category/entertainmenttags/Akshay-Khanna/feed,,http://feed.photobucket.com/images/akshay+khanna/feed.rss,,,https://www.facebook.com/feeds/page.php?id=128850630491496&format=atom10,Official Website,,,Unofficial Fan Site,,,Wikipedia,Akshay Khanna on Wikipedia,http://en.m.wikipedia.org/wiki/Akshay_Khanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.akshaykhanna,bollywood,akshaykhanna,120006
Bollywood Top50 Male Stars,Akshay Kumar,akshaykumar,Akshay+Kumar,Akshay%2BKumar,Akshay-Kumar,Akshay_Kumar,,http://www.webindia123.com/personality/men/akshay_kumar/akshay.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Akshay+Kumar,,,http://www.pinkvilla.com/category/entertainmenttags/Akshay-Kumar/feed,http://rss.starpulse.com/rss/topic.news.rss.php?topic_path=Actors/Kumar%2C_Akshay/&topic_name=Akshay%20Kumar,http://feed.photobucket.com/images/akshay+kumar/feed.rss,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actors/Kumar%2C_Akshay/&topic_name=Akshay+Kumar,akshaykumar,https://www.facebook.com/feeds/page.php?id=20143593282&format=atom10,Official Website,Akshay Kumar,http://www.akshaykumar.org/home.html,Unofficial Fan Site,Akshay Kumar Fan Site,http://www.akshaykumar.info/,Wikipedia,Akshay Kumar on Wikipedia,http://en.m.wikipedia.org/wiki/Akshay_Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.akshaykumar,bollywood,akshaykumar,120007
Bollywood Top50 Female Stars,Amisha Patel,amishapatel,Amisha+Patel,Amisha%2BPatel,Amisha-Patel,Amisha_Patel,,http://www.webindia123.com/personality/women/amisha_patel/amisha.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Amisha+Patel,,,http://www.pinkvilla.com/category/entertainmenttags/Amisha-Patel/feed,,http://feed.photobucket.com/images/amisha+patel/feed.rss,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actresses/Patel%2C_Amisha/&topic_name=Amisha+Patel,ameesha_patel,http://www.facebook.com/feeds/page.php?id=52687623554&format=atom10,Official Website,,,Unofficial Fan Site,Amisha Patel unofficial Fan site,http://www.amishapatel.com/,Wikipedia,Amisha Patel on Wikipedia,http://en.m.wikipedia.org/wiki/Amisha_Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.amishapatel,bollywood,amishapatel,120008
Bollywood Top50 Male Stars,Amitabh Bachchan,amitabhbachchan,Amitabh+Bachchan,Amitabh%2BBachchan,Amitabh-Bachchan,Amitabh_Bachchan,,http://www.webindia123.com/personality/men/amitabh_bachchan/amitabh.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Amitabh+Bachchan,,,http://www.pinkvilla.com/category/entertainmenttags/Amitabh-Bachchan/feed,http://rss.starpulse.com/rss/topic.news.rss.php?topic_path=Actors/Bachchan%2C_Amitabh/&topic_name=Amitabh%20Bachchan,http://rss.starpulse.com/rss/topic.photos.rss.php?topic_path=Actors/Bachchan%2C_Amitabh&topic_name=Amitabh%20Bachchan,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actors/Bachchan%2C_Amitabh/&topic_name=Amitabh+Bachchan,SrBachchan,https://www.facebook.com/feeds/page.php?id=18892492108&format=atom10,Official Website,Amitabh Bacchan,http://bigb.bigadda.com/,Unofficial Fan Site,"Un official Amitabh Bachchan website
",http://www.amitabh-bachchan.co.in/,Wikipedia,Amitabh Bachchan on Wikipedia,http://en.m.wikipedia.org/wiki/Amitabh_Bachchan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.amitabhbachchan,bollywood,amitabhbach,120009
